"contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","celltype","region","weight","p_adj"
"Disease_effect",0.522197736556083,0.194047505430429,Inf,0.141871614622602,0.902523858489565,2.69108193582681,0.00712207004800427,"Oligodendrocytes6","Capillaries",0.433333333333333,0.0204759513880123
"Amyloid_effect",-0.723056057566669,0.223097350013874,Inf,-1.16031882864019,-0.28579328649315,-3.24098900108721,0.00119115779740442,"Oligodendrocytes6","Capillaries",0.433333333333333,0.00456610489005027
"AD_overall_vs_Control",0.20887344494386,0.195249776541986,Inf,-0.173809085067925,0.591555974955645,1.06977559023708,0.28472033213278,"Oligodendrocytes6","Capillaries",0.433333333333333,0.595239001331772
"Disease_effect",0.0348404211681233,0.217638226753037,Inf,-0.391722664926991,0.461403507263238,0.160084106950835,0.872814820529161,"Oligodendrocytes7","Capillaries",0.433333333333333,0.895392470035217
"Amyloid_effect",-0.339768835358246,0.239931801412594,Inf,-0.810026524872747,0.130488854156254,-1.41610588241269,0.156744506085451,"Oligodendrocytes7","Capillaries",0.433333333333333,0.20207173936085
"AD_overall_vs_Control",-0.11239274082045,0.211363277438597,Inf,-0.526657152254447,0.301871670613547,-0.531751504719647,0.594898114588816,"Oligodendrocytes7","Capillaries",0.433333333333333,0.774931915835608
"Disease_effect",-0.461488055537755,0.816613859462719,Inf,-2.06202180936094,1.13904569828543,-0.565123956923025,0.571989454622118,"Oligodendrocytes8","Capillaries",0.433333333333333,0.672060140197633
"Amyloid_effect",1.15429763098411,0.415372641868683,Inf,0.340182212758241,1.96841304920999,2.77894477063089,0.00545357965991702,"Oligodendrocytes8","Capillaries",0.433333333333333,0.0147567449621284
"AD_overall_vs_Control",0.0387075845553608,0.88039446401328,Inf,-1.68683385709911,1.76424902620983,0.04396618349792,0.964931359448245,"Oligodendrocytes8","Capillaries",0.433333333333333,0.964931359448245
"Disease_effect",0.133138689223466,0.169291542940284,Inf,-0.198666637826707,0.464944016273638,0.786446191647205,0.431606131042464,"OPC1","Capillaries",0.433333333333333,0.536591406160901
"Amyloid_effect",-0.434957194156651,0.171610577821558,Inf,-0.771307746053013,-0.0986066422602895,-2.53455934755329,0.0112588853859052,"OPC1","Capillaries",0.433333333333333,0.0250395002769114
"AD_overall_vs_Control",-0.05534276157775,0.170641272471211,Inf,-0.389793509897409,0.279107986741909,-0.324322250861596,0.745694075581473,"OPC1","Capillaries",0.433333333333333,0.836632377481653
"Disease_effect",0.428458695646858,0.128639242546361,Inf,0.176330413257479,0.680586978036237,3.33069977065859,0.000866279794006462,"OPC2","Capillaries",0.433333333333333,0.00362262459311793
"Amyloid_effect",-0.521230570021241,0.128731403722051,Inf,-0.773539484995748,-0.268921655046735,-4.04897759948807,5.14418676795947e-05,"OPC2","Capillaries",0.433333333333333,0.000394387652210226
"AD_overall_vs_Control",0.20259211530432,0.122261071749392,Inf,-0.0370351820357553,0.442219412644395,1.65704514450511,0.0975103482917942,"OPC2","Capillaries",0.433333333333333,0.299031734761502
"Disease_effect",-1.47699219731084,0.331042560211591,Inf,-2.12582369267549,-0.828160701946186,-4.46163839588116,8.13353909679166e-06,"OPC3","Capillaries",0.433333333333333,9.35356996131041e-05
"Amyloid_effect",0.987193368657314,0.334001485643551,Inf,0.332562486013082,1.64182425130155,2.95565562157665,0.00312005250534611,"OPC3","Capillaries",0.433333333333333,0.00897015095287007
"AD_overall_vs_Control",-1.049208404226,0.277722721065028,Inf,-1.59353493520192,-0.504881873250083,-3.77789905054377,0.000158156959059287,"OPC3","Capillaries",0.433333333333333,0.0018188050291818
"Disease_effect",-0.579021309493806,0.318828939634639,Inf,-1.20391454840679,0.0458719294191816,-1.81608768061435,0.0693569231695123,"Pericytes","Capillaries",0.433333333333333,0.142225618460988
"Amyloid_effect",-0.0759624896557085,0.343382563464851,Inf,-0.748979946965855,0.597054967654438,-0.221218249666554,0.824922500072013,"Pericytes","Capillaries",0.433333333333333,0.842153584985923
"AD_overall_vs_Control",-0.611938388344613,0.304460619977424,Inf,-1.2086702382111,-0.0152065384781258,-2.00990981490476,0.0444407347752115,"Pericytes","Capillaries",0.433333333333333,0.157251830743056
"Disease_effect",-1.55726613753351,0.391630749107477,Inf,-2.32484830102261,-0.789683974044411,-3.97636329905786,6.99771944144841e-05,"SMC","Capillaries",0.433333333333333,0.000459850134723753
"Amyloid_effect",1.50412370988552,0.343963922999264,Inf,0.829966808825849,2.17828061094518,4.37291125409316,1.22600570921122e-05,"SMC","Capillaries",0.433333333333333,0.00014099065655929
"AD_overall_vs_Control",-0.905479196583118,0.314227076933514,Inf,-1.5213529503401,-0.289605442826135,-2.88160780229231,0.00395651866062362,"SMC","Capillaries",0.433333333333333,0.0259999797698124
"Disease_effect",-0.977164675465716,0.267461994455435,Inf,-1.50138055183162,-0.452948799099812,-3.65347113131071,0.00025871888867249,"VLMC1","Capillaries",0.433333333333333,0.00132234098654828
"Amyloid_effect",0.982054504464595,0.27205031985035,Inf,0.448845675575307,1.51526333335388,3.60982668575727,0.000306401661685293,"VLMC1","Capillaries",0.433333333333333,0.00156605293750261
"AD_overall_vs_Control",-0.551607723531058,0.21685594896314,Inf,-0.97663757333207,-0.126577873730047,-2.54365963289675,0.0109697919366048,"VLMC1","Capillaries",0.433333333333333,0.0458736753712563
"Disease_effect",-1.72484594280665,0.310675792405405,Inf,-2.33375930678969,-1.11593257882361,-5.55191612919707,2.82555161339236e-08,"VLMC2","Capillaries",0.433333333333333,6.49876871080243e-07
"Amyloid_effect",1.71859629965078,0.30679003049501,Inf,1.11729888906462,2.31989371023694,5.60186488745348,2.12057827496914e-08,"VLMC2","Capillaries",0.433333333333333,4.87733003242902e-07
"AD_overall_vs_Control",-0.980120879624645,0.241534210394729,Inf,-1.45351923303263,-0.506722526216656,-4.05789671791368,4.95166562756175e-05,"VLMC2","Capillaries",0.433333333333333,0.000923103370773786
"Disease_effect",0.0874681337704646,0.248710833733134,Inf,-0.399996142911407,0.574932410452336,0.351686062314108,0.725073714316699,"Astrocytes1","Parenchyma",0.533333333333333,0.877720812067583
"Amyloid_effect",0.121768509065923,0.196604365036243,Inf,-0.263568965608479,0.507105983740324,0.619358115693289,0.53568046704688,"Astrocytes1","Parenchyma",0.533333333333333,0.671932730751906
"AD_overall_vs_Control",0.152411338605623,0.225939951419665,Inf,-0.290422828845649,0.595245506056896,0.67456568724551,0.499951739205372,"Astrocytes1","Parenchyma",0.533333333333333,0.657079428669917
"Disease_effect",-0.626940292648237,0.249809663348965,Inf,-1.11655823580229,-0.13732234949419,-2.5096719007721,0.0120843382772158,"Astrocytes2","Parenchyma",0.533333333333333,0.0370586373834617
"Amyloid_effect",0.496394685884473,0.204591621445444,Inf,0.0954024763127505,0.897386895456195,2.42627084324096,0.0152548808880874,"Astrocytes2","Parenchyma",0.533333333333333,0.100246360121717
"AD_overall_vs_Control",-0.362196460176519,0.217401301403258,Inf,-0.788295181119041,0.0639022607660036,-1.66602710213165,0.0957080164784292,"Astrocytes2","Parenchyma",0.533333333333333,0.24270219913637
"Disease_effect",0.0881275373223935,0.219024929407851,Inf,-0.341153436033423,0.51740851067821,0.402363044063761,0.687416863565919,"Astrocytes3","Parenchyma",0.533333333333333,0.854626370919791
"Amyloid_effect",0.0325939758623878,0.173370657234253,Inf,-0.307206268292786,0.372394220017561,0.188001685996656,0.850875329513884,"Astrocytes3","Parenchyma",0.533333333333333,0.944963288425304
"AD_overall_vs_Control",0.105510991115667,0.202339217243431,Inf,-0.291066587341483,0.502088569572817,0.521455961691937,0.602049176004654,"Astrocytes3","Parenchyma",0.533333333333333,0.728796370953002
"Disease_effect",-0.565343361691382,0.242628413761936,Inf,-1.04088631429086,-0.0898004090919044,-2.33007895870798,0.0198019782998865,"Astrocytes4","Parenchyma",0.533333333333333,0.0569306876121737
"Amyloid_effect",0.487384024717575,0.205829418713714,Inf,0.08396577707988,0.890802272355269,2.36790264367151,0.0178892426131179,"Astrocytes4","Parenchyma",0.533333333333333,0.102863145025428
"AD_overall_vs_Control",-0.305405215175342,0.211458522008502,Inf,-0.719856302536076,0.109045872185392,-1.44427953186518,0.148660360922888,"Astrocytes4","Parenchyma",0.533333333333333,0.297320721845776
"Disease_effect",-0.0394088991360357,0.226759779622599,Inf,-0.48384990033857,0.405032102066498,-0.173791398111361,0.862029404833593,"Astrocytes5","Parenchyma",0.533333333333333,0.90976015040761
"Amyloid_effect",-0.0264021917884305,0.179921879434054,Inf,-0.379042595509934,0.326238211933073,-0.146742529988453,0.883335247875828,"Astrocytes5","Parenchyma",0.533333333333333,0.944963288425304
"AD_overall_vs_Control",-0.0534900680898652,0.210191773209057,Inf,-0.465458373426228,0.358478237246498,-0.254482215327542,0.799123042051096,"Astrocytes5","Parenchyma",0.533333333333333,0.885647674858422
