"contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","celltype","region","p_adj"
"AD_Amyloid_vs_Control",-0.0897022056851077,0.103140681466179,Inf,-0.291854226699736,0.112449815329521,-0.869707320234472,0.384460370802422,"Pericytes","Capillaries",0.724481459765134
"AD_Amyloid_vs_Control",-0.168881331179001,0.114266096567703,Inf,-0.392838765105675,0.0550761027476731,-1.47796534800625,0.139417053473876,"SMC","Capillaries",0.534432038316526
"AD_Amyloid_vs_Control",0.0205394822585249,0.069546301105594,Inf,-0.115768763166418,0.156847727683467,0.29533536553352,0.767737702929282,"VLMC1","Capillaries",0.848675414298159
"AD_Amyloid_vs_Control",-0.00769388801461329,0.0966314357528903,Inf,-0.197088021864674,0.181700245835448,-0.0796209634542573,0.936538721722346,"VLMC2","Capillaries",0.938776500851601
"AD_Amyloid_vs_Control",0.220462757602191,0.226502954702038,Inf,-0.223474876005712,0.664400391210093,0.973332811009934,0.330387920253858,"Astrocytes1","Parenchyma",0.524063597644051
"AD_Amyloid_vs_Control",-0.163303305162046,0.200625469833027,Inf,-0.556522000416206,0.229915390092114,-0.813970954425465,0.415661590618129,"Astrocytes2","Parenchyma",0.558443589905258
"AD_Amyloid_vs_Control",0.207831610205099,0.139413734777754,Inf,-0.0654142889095181,0.481077509319716,1.49075419675409,0.136026041207927,"Astrocytes3","Parenchyma",0.250287915822585
"AD_Amyloid_vs_Control",-0.0514596799150591,0.204732732021705,Inf,-0.452728461134092,0.349809101303973,-0.251350526156235,0.801543114433684,"Astrocytes4","Parenchyma",0.921774581598736
"AD_Amyloid_vs_Control",-0.00353221939122447,0.217977580728583,Inf,-0.430760427056419,0.42369598827397,-0.0162045077269788,0.987071239290455,"Astrocytes5","Parenchyma",0.987071239290455
"AD_Amyloid_vs_Control",-0.180196725364358,0.206119248107889,Inf,-0.584183028176296,0.22378957744758,-0.874235312900218,0.381990118788659,"Endothelial","Parenchyma",0.549110795758697
"AD_Amyloid_vs_Control",0.208771806997013,0.136866004831038,Inf,-0.0594806331797061,0.477024247173731,1.52537372048482,0.127165909623688,"ExNeuron1","Parenchyma",0.243734660112069
"AD_Amyloid_vs_Control",-0.507037622407868,0.263560231137456,Inf,-1.02360618319433,0.00953093837859775,-1.92380170642448,0.0543794434669636,"ExNeuron10","Parenchyma",0.142554519247628
"AD_Amyloid_vs_Control",-0.0296901509184951,0.202549185269157,Inf,-0.426679259143974,0.367298957306984,-0.146582425789773,0.883461626019165,"ExNeuron11","Parenchyma",0.923618972656399
"AD_Amyloid_vs_Control",-0.634608725946632,0.304491736653674,Inf,-1.23140156337789,-0.0378158885153772,-2.0841574648984,0.0371458463770856,"ExNeuron12","Parenchyma",0.113913928889729
"AD_Amyloid_vs_Control",-0.361605007393031,0.226729179490223,Inf,-0.805986033438185,0.0827760186521227,-1.59487635515668,0.11073988806114,"ExNeuron13","Parenchyma",0.22147977612228
"AD_Amyloid_vs_Control",0.242054257081566,0.303347256054741,Inf,-0.352495439594776,0.836603953757907,0.797944442384821,0.424902731449653,"ExNeuron14","Parenchyma",0.558443589905258
"AD_Amyloid_vs_Control",0.181067245114482,0.0783020955166863,Inf,0.0275979579877611,0.334536532241202,2.31241889402431,0.0207546101452375,"ExNeuron2","Parenchyma",0.0795593388900769
"AD_Amyloid_vs_Control",-0.184213087879574,0.183658829238138,Inf,-0.544177778629117,0.175751602869969,-1.00301787092804,0.315852238788892,"ExNeuron3","Parenchyma",0.518900106581751
"AD_Amyloid_vs_Control",0.111788134534668,0.279113551243891,Inf,-0.435264373500433,0.65884064256977,0.400511311745616,0.688779953608714,"ExNeuron4","Parenchyma",0.812407124769252
"AD_Amyloid_vs_Control",0.284980311606092,0.117579924636509,Inf,0.0545278940136016,0.515432729198583,2.42371571921901,0.0153626261559582,"ExNeuron5","Parenchyma",0.0778607259160118
"AD_Amyloid_vs_Control",-0.6988863427715,0.278945319573763,Inf,-1.24560912279209,-0.152163562750909,-2.50546000857594,0.0122292226979144,"ExNeuron6","Parenchyma",0.0703180305130076
"AD_Amyloid_vs_Control",-0.772357019178317,0.345339226228336,Inf,-1.44920946503478,-0.095504573321849,-2.23651691009361,0.0253179308814948,"ExNeuron7","Parenchyma",0.089586524657597
"AD_Amyloid_vs_Control",0.293493415566088,0.152118209852799,Inf,-0.00465279713810474,0.59163962827028,1.92937726423479,0.0536840441173351,"ExNeuron8","Parenchyma",0.142554519247628
"AD_Amyloid_vs_Control",-0.542558210242821,0.25828687349742,Inf,-1.04879117997722,-0.0363252405084242,-2.10060311194343,0.0356758206479816,"ExNeuron9","Parenchyma",0.113913928889729
