"region","celltype_1","celltype_2","r","p.value","p_adj","n"
"Arteries","Oligodendrocytes7","Pericytes",-0.628697679891903,0.371302320108097,0.891037965234946,4
"Arteries","Oligodendrocytes7","SMC",-0.509540966190743,0.490459033809257,0.90810940311922,4
"Arteries","Oligodendrocytes7","VLMC1",0.159149545716114,0.840850454283886,0.97510263871957,4
"Arteries","Oligodendrocytes7","VLMC2",0.366045440966703,0.633954559033296,0.935872950329636,4
"Arteries","Oligodendrocytes8","OPC1",-0.359093934699412,0.640906065300588,0.935872950329636,4
"Arteries","Oligodendrocytes8","OPC2",0.157374488682469,0.842625511317531,0.97510263871957,4
"Arteries","Oligodendrocytes8","OPC3",-0.621191888500139,0.37880811149986,0.891037965234946,4
"Arteries","Oligodendrocytes8","Pericytes",0.310878791871336,0.689121208128664,0.950171621084159,4
"Arteries","Oligodendrocytes8","SMC",-0.165701005693472,0.834298994306528,0.97510263871957,4
"Arteries","Oligodendrocytes8","VLMC1",0.0967883412626132,0.903211658737387,0.977266292094293,4
"Arteries","Oligodendrocytes8","VLMC2",0.988808404028482,0.0111915959715182,0.663710628033196,4
"Arteries","OPC1","OPC2",0.579877860573623,0.420122139426377,0.903421216954479,4
"Arteries","OPC1","OPC3",0.744630266255123,0.255369733744877,0.869181334725044,4
"Arteries","OPC1","Pericytes",-0.927110056213113,0.0728899437868867,0.797938550700514,4
"Arteries","OPC1","SMC",-0.375007596461636,0.624992403538364,0.935872950329636,4
"Arteries","OPC1","VLMC1",0.111051841511046,0.888948158488954,0.977266292094293,4
"Arteries","OPC1","VLMC2",-0.469352663025219,0.530647336974781,0.912639587855679,4
"Arteries","OPC2","OPC3",0.675742649842318,0.324257350157682,0.874424971015246,4
"Arteries","OPC2","Pericytes",-0.279665503618485,0.720334496381515,0.955463768477229,4
"Arteries","OPC2","SMC",0.277495253611161,0.722504746388839,0.955463768477229,4
"Arteries","OPC2","VLMC1",0.823935714734624,0.176064285265376,0.869181334725044,4
"Arteries","OPC2","VLMC2",0.0112337342821197,0.98876626571788,0.993899035653216,4
"Arteries","OPC3","Pericytes",-0.475908341375269,0.524091658624731,0.912639587855679,4
"Arteries","OPC3","SMC",0.320372148698533,0.679627851301467,0.946722511570684,4
"Arteries","OPC3","VLMC1",0.567207029128258,0.432792970871742,0.903421216954479,4
"Arteries","OPC3","VLMC2",-0.729493890766543,0.270506109233457,0.869181334725044,4
"Arteries","Pericytes","SMC",0.680454659522254,0.319545340477746,0.874424971015246,4
"Arteries","Pericytes","VLMC1",0.261258009081741,0.738741990918259,0.96682036141232,4
"Arteries","Pericytes","VLMC2",0.382503484915915,0.617496515084085,0.935807731304621,4
"Arteries","SMC","VLMC1",0.765785309035662,0.234214690964338,0.869181334725044,4
