"contrast1","contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","celltype","p_adj"
"Capillaries - Parenchyma","Disease_effect",0.356715969136715,0.285624353114265,Inf,-0.312701995176358,1.02613393344979,1.24889900054849,0.424367535182914,"ExNeuron2",0.999957860652559
"Arteries - Capillaries","Amyloid_effect",0.646025945628252,0.277326384006482,Inf,-0.00394406360851507,1.29599595486502,2.32947884833472,0.0518268577959196,"ExNeuron2",0.23840354586123
"Arteries - Parenchyma","Amyloid_effect",0.0251514962050119,0.228727969736712,Inf,-0.510918380936583,0.561221373346607,0.109962486153152,0.993355810946192,"ExNeuron2",0.999942844910086
"Capillaries - Parenchyma","Amyloid_effect",-0.62087444942324,0.262492807404296,Inf,-1.23607899645677,-0.00566990238970833,-2.36530080790731,0.0473287220929307,"ExNeuron2",0.23840354586123
"Arteries - Capillaries","Disease_effect",-0.28464065181041,0.285470256334025,Inf,-0.953697459409041,0.38441615578822,-0.99709390206087,0.578688034466065,"ExNeuron3",0.999957860652559
"Arteries - Parenchyma","Disease_effect",-0.0533750981675805,0.25995139219958,Inf,-0.662623328891717,0.555873132556556,-0.205327225663024,0.977026450918096,"ExNeuron3",0.999957860652559
"Capillaries - Parenchyma","Disease_effect",0.23126555364283,0.287550914023363,Inf,-0.442667692605525,0.905198799891185,0.804259497586016,0.700378521614733,"ExNeuron3",0.999957860652559
"Arteries - Capillaries","Amyloid_effect",0.624231228499019,0.279028393747355,Inf,-0.0297277819680463,1.27819023896608,2.2371602406321,0.065087594826443,"ExNeuron3",0.272184487456034
"Arteries - Parenchyma","Amyloid_effect",0.333231204220049,0.228134064021379,Inf,-0.201446735747361,0.867909144187459,1.46068148853396,0.310010683000732,"ExNeuron3",0.743001630904745
"Capillaries - Parenchyma","Amyloid_effect",-0.29100002427897,0.268757918671431,Inf,-0.920888116272559,0.338888067714618,-1.08275888471488,0.52477707333852,"ExNeuron3",0.916699191401466
"Arteries - Capillaries","Disease_effect",-0.271859286380561,0.412806635700202,Inf,-1.23935444116103,0.695635868399907,-0.658563266356981,0.787496437329911,"ExNeuron4",0.999957860652559
"Arteries - Parenchyma","Disease_effect",-0.32901277936015,0.385571799476226,Inf,-1.23267763247107,0.574652073750767,-0.853311315316868,0.669762178641431,"ExNeuron4",0.999957860652559
"Capillaries - Parenchyma","Disease_effect",-0.0571534929795888,0.421755652299866,Inf,-1.04562246322584,0.931315477266658,-0.135513282792836,0.989926948271165,"ExNeuron4",0.999957860652559
"Arteries - Capillaries","Amyloid_effect",-0.339462373205525,0.389481543814401,Inf,-1.25229049642037,0.57336575000932,-0.871574991412915,0.658265375771125,"ExNeuron4",0.971588328320683
"Arteries - Parenchyma","Amyloid_effect",-0.19998128280902,0.334754533568479,Inf,-0.984545679936372,0.584583114318331,-0.597396787064308,0.821509214381169,"ExNeuron4",0.999942844910086
"Capillaries - Parenchyma","Amyloid_effect",0.139481090396505,0.379443064879702,Inf,-0.749819843837442,1.02878202463045,0.367594254070043,0.928228476205562,"ExNeuron4",0.999942844910086
"Arteries - Capillaries","Disease_effect",-0.176444270138643,0.257474816058197,Inf,-0.779888147904235,0.426999607626949,-0.685287488850022,0.772086237381266,"ExNeuron5",0.999957860652559
"Arteries - Parenchyma","Disease_effect",-0.308421126204995,0.228725387048623,Inf,-0.844484950298997,0.227642697889007,-1.34843416458808,0.368356803234166,"ExNeuron5",0.978241753315122
"Capillaries - Parenchyma","Disease_effect",-0.131976856066352,0.257119459176999,Inf,-0.734587883700566,0.470634171567863,-0.513290034479653,0.864869916779433,"ExNeuron5",0.999957860652559
"Arteries - Capillaries","Amyloid_effect",0.253999633536099,0.251580133781226,Inf,-0.335628873911461,0.843628140983658,1.00961721308637,0.570758462437691,"ExNeuron5",0.94456052822405
