ROI_ID,Scan Name,Segment (Name/ Label),Segment Tags,Custom Segment Name,LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0,GeoMx_ROI_ID,Scan_ID,disease_status,pathology,region,celltype,abs_abundance
2613_C_002,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_C 002,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.056049902
2613_C_003,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_C 003,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.028077692
2613_C_004,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_C 004,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.02758724
2613_C_005,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_C 005,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.12654299
2613_C_006,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_C 006,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.17765385
2613_C_007,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_C 007,BRC 2613 BRC 2509,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.17085126
2613_D_001,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_D,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.22116165
2613_D_002,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_D 002,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.16733246
2613_D_003,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_D 003,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.11772953
2613_D_004,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_D 004,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.058390953
2613_D_005,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_D 005,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes4,0.046612058
2613_F_001,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_F,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,0.023894573
2613_F_002,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_F 002,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,0.09402053
2613_F_003,BRC 2613 BRC 2509,Full ROI,,,HW0110125,2613_F 003,BRC 2613 BRC 2509,AD-CAA,AmyloidFree,Parenchyma,Oligodendrocytes4,0.063946426
2495_A_001,BRC 2495 BRC 2052,Full ROI,,,HW0110125,2495_A,BRC 2495 BRC 2052,AD-CAA,Amyloid,Arteries,Oligodendrocytes4,0.029255973
2495_B_001,BRC 2495 BRC 2052,Full ROI,,,HW0110125,2495_B,BRC 2495 BRC 2052,AD-CAA,Amyloid,Capillaries,Oligodendrocytes4,0.014111832
2495_C_001,BRC 2495 BRC 2052,Full ROI,,,HW0110125,2495_C,BRC 2495 BRC 2052,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.9907301
2495_C_002,BRC 2495 BRC 2052,Full ROI,,,HW0110125,2495_C 002,BRC 2495 BRC 2052,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes4,0.2897042
