ROI,Scan_ID,disease_status,pathology,region,celltype,rel_abundance
80,BRC 2845 BRC 2497,AD-CAA,Amyloid,Capillaries,Oligodendrocytes1,-0.00068601227
81,BRC 2845 BRC 2497,AD-CAA,Amyloid,Capillaries,Oligodendrocytes1,0.018601473
82,BRC 2845 BRC 2497,AD-CAA,Amyloid,Capillaries,Oligodendrocytes1,0.02024647
83,BRC 2845 BRC 2497,AD-CAA,Amyloid,Capillaries,Oligodendrocytes1,0.01887888
84,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes1,0.0068940623
85,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes1,-0.0052806013
86,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes1,0.0030919595
87,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes1,-0.0015802773
88,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes1,0.020372821
89,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes1,-0.002735007
90,BRC 2845 BRC 2497,AD-CAA,Amyloid,Parenchyma,Oligodendrocytes1,-0.03049414
91,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes1,0.0069350875
92,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes1,0.0051239724
93,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes1,0.025917236
94,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes1,0.017040133
95,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes1,0.0022579515
96,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes1,0.03238082
97,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes1,-0.003315897
98,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes1,0.047520164
99,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Arteries,Oligodendrocytes1,0.02696389
100,BRC 2845 BRC 2497,AD-CAA,AmyloidFree,Capillaries,Oligodendrocytes1,-0.018893912
